=== monitor_resources.sh started 2026-09-17T04:13:00Z ===
tracking tmux session 'full_scan', process pattern 'odgi', RSS stop limit 100GB
2026-09-17T05:35:38Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5070M wired, 4002M compressor), 21G unused.
2026-09-17T05:36:09Z tracked_rss_gb=0 unused_mb=99999 PhysMem: 81G used (4672M wired, 4002M compressor), 46G unused.
2026-09-17T05:36:40Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5067M wired, 4002M compressor), 21G unused.
2026-09-17T05:37:11Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5072M wired, 4002M compressor), 21G unused.
2026-09-17T05:37:42Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5065M wired, 4002M compressor), 21G unused.
2026-09-17T05:38:13Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5067M wired, 4002M compressor), 21G unused.
2026-09-17T05:38:44Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5070M wired, 4002M compressor), 22G unused.
2026-09-17T05:39:15Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5063M wired, 4002M compressor), 21G unused.
2026-09-17T05:39:46Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5065M wired, 4002M compressor), 22G unused.
2026-09-17T05:40:17Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5057M wired, 4002M compressor), 21G unused.
2026-09-17T05:40:48Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (4686M wired, 4000M compressor), 21G unused.
2026-09-17T05:41:19Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 109G used (4685M wired, 3993M compressor), 18G unused.
2026-09-17T05:41:50Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 109G used (5080M wired, 3992M compressor), 18G unused.
2026-09-17T05:42:21Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 109G used (5064M wired, 3992M compressor), 18G unused.
2026-09-17T05:42:52Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 109G used (4678M wired, 3992M compressor), 18G unused.
2026-09-17T05:43:23Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 109G used (5072M wired, 3992M compressor), 18G unused.
2026-09-17T05:43:54Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 109G used (5065M wired, 3991M compressor), 18G unused.
2026-09-17T05:44:25Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 109G used (5058M wired, 3991M compressor), 18G unused.
2026-09-17T05:44:56Z tracked_rss_gb=8 unused_mb=99999 PhysMem: 97G used (5066M wired, 3990M compressor), 30G unused.
2026-09-17T05:45:27Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 109G used (5064M wired, 3990M compressor), 18G unused.
2026-09-17T05:45:58Z tracked_rss_gb=0 unused_mb=99999 PhysMem: 84G used (4666M wired, 3990M compressor), 42G unused.
2026-09-17T05:46:28Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 108G used (5071M wired, 3990M compressor), 18G unused.
2026-09-17T05:46:59Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 108G used (5302M wired, 3990M compressor), 18G unused.
2026-09-17T05:47:30Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 108G used (5057M wired, 3990M compressor), 18G unused.
2026-09-17T05:48:01Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 109G used (5283M wired, 3990M compressor), 18G unused.
2026-09-17T05:48:32Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 108G used (5077M wired, 3990M compressor), 18G unused.
2026-09-17T05:49:03Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 109G used (5056M wired, 3990M compressor), 18G unused.
2026-09-17T05:49:34Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 108G used (5065M wired, 3990M compressor), 18G unused.
2026-09-17T05:50:05Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 109G used (5079M wired, 3990M compressor), 18G unused.
2026-09-17T05:50:36Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 108G used (4677M wired, 3989M compressor), 18G unused.
2026-09-17T05:51:07Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 109G used (4680M wired, 3989M compressor), 18G unused.
2026-09-17T05:51:39Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 109G used (5082M wired, 3989M compressor), 18G unused.
2026-09-17T05:52:10Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 109G used (5745M wired, 3989M compressor), 18G unused.
2026-09-17T05:52:41Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 109G used (5350M wired, 3989M compressor), 18G unused.
2026-09-17T05:53:12Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 109G used (5513M wired, 3989M compressor), 18G unused.
2026-09-17T05:53:43Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 109G used (5470M wired, 3988M compressor), 18G unused.
2026-09-17T05:54:14Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 109G used (5478M wired, 3988M compressor), 18G unused.
2026-09-17T05:54:45Z tracked_rss_gb=21 unused_mb=99999 PhysMem: 109G used (5688M wired, 3988M compressor), 18G unused.
2026-09-17T05:55:16Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 109G used (5474M wired, 3988M compressor), 18G unused.
2026-09-17T05:55:47Z tracked_rss_gb=5 unused_mb=99999 PhysMem: 93G used (5657M wired, 3988M compressor), 33G unused.
2026-09-17T05:56:18Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 109G used (5685M wired, 3988M compressor), 18G unused.
2026-09-17T05:56:49Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 103G used (5689M wired, 3988M compressor), 24G unused.
2026-09-17T05:57:20Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 109G used (5079M wired, 3988M compressor), 18G unused.
2026-09-17T05:57:51Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 109G used (5282M wired, 3988M compressor), 18G unused.
